Country Code,Series Name,2015 [YR2015]
BWA,Imports of goods and services (% of GDP),59.80999367
BWA,Exports of goods and services (% of GDP),53.09089734
BWA,Trade (% of GDP),112.900891
BWA,Merchandise exports (current US$),6316000000
BWA,Commercial service exports (current US$),838555923.8
BRA,Imports of goods and services (% of GDP),14.05343452
BRA,Exports of goods and services (% of GDP),12.90019142
BRA,Trade (% of GDP),26.95362594
BRA,Merchandise exports (current US$),1.87E+11
BRA,Commercial service exports (current US$),32886125184
VGB,Imports of goods and services (% of GDP),
VGB,Exports of goods and services (% of GDP),
VGB,Trade (% of GDP),
VGB,Merchandise exports (current US$),
VGB,Commercial service exports (current US$),
BRN,Imports of goods and services (% of GDP),37.68319271
BRN,Exports of goods and services (% of GDP),52.21059737
BRN,Trade (% of GDP),89.89379008
BRN,Merchandise exports (current US$),6353000000
BRN,Commercial service exports (current US$),629168302.5
BGR,Imports of goods and services (% of GDP),62.92836755
BGR,Exports of goods and services (% of GDP),63.80715712
BGR,Trade (% of GDP),126.7355247
BGR,Merchandise exports (current US$),25371000000
BGR,Commercial service exports (current US$),8169860000
BFA,Imports of goods and services (% of GDP),32.98153577
BFA,Exports of goods and services (% of GDP),26.10764554
BFA,Trade (% of GDP),59.08918131
BFA,Merchandise exports (current US$),2176000000
BFA,Commercial service exports (current US$),368644600.1
BDI,Imports of goods and services (% of GDP),16.42100985
BDI,Exports of goods and services (% of GDP),6.417273565
BDI,Trade (% of GDP),22.83828342
BDI,Merchandise exports (current US$),121000000
BDI,Commercial service exports (current US$),19289635.74
CPV,Imports of goods and services (% of GDP),52.87307781
CPV,Exports of goods and services (% of GDP),41.13545234
CPV,Trade (% of GDP),94.00853014
CPV,Merchandise exports (current US$),67000000
CPV,Commercial service exports (current US$),480768627.8
KHM,Imports of goods and services (% of GDP),66.14564324
KHM,Exports of goods and services (% of GDP),61.71842376
KHM,Trade (% of GDP),127.864067
KHM,Merchandise exports (current US$),8542000000
KHM,Commercial service exports (current US$),3783902298
CMR,Imports of goods and services (% of GDP),24.5509972
CMR,Exports of goods and services (% of GDP),20.98914963
CMR,Trade (% of GDP),45.54014683
CMR,Merchandise exports (current US$),4058000000
CMR,Commercial service exports (current US$),1441700161
CAN,Imports of goods and services (% of GDP),34.3149411
CAN,Exports of goods and services (% of GDP),31.84996096
CAN,Trade (% of GDP),66.16490207
CAN,Merchandise exports (current US$),4.10E+11
CAN,Commercial service exports (current US$),83781108146
CYM,Imports of goods and services (% of GDP),
CYM,Exports of goods and services (% of GDP),
CYM,Trade (% of GDP),
CYM,Merchandise exports (current US$),65000000
CYM,Commercial service exports (current US$),
CAF,Imports of goods and services (% of GDP),36.07748715
CAF,Exports of goods and services (% of GDP),17.06766062
CAF,Trade (% of GDP),53.14514778
CAF,Merchandise exports (current US$),86000000
CAF,Commercial service exports (current US$),
TCD,Imports of goods and services (% of GDP),36.56240346
TCD,Exports of goods and services (% of GDP),30.00176089
TCD,Trade (% of GDP),66.56416435
TCD,Merchandise exports (current US$),2426000000
TCD,Commercial service exports (current US$),
CHI,Imports of goods and services (% of GDP),
CHI,Exports of goods and services (% of GDP),
CHI,Trade (% of GDP),
CHI,Merchandise exports (current US$),
CHI,Commercial service exports (current US$),
CHL,Imports of goods and services (% of GDP),30.15803099
CHL,Exports of goods and services (% of GDP),29.19107949
CHL,Trade (% of GDP),59.34911048
CHL,Merchandise exports (current US$),62035000000
CHL,Commercial service exports (current US$),8176547810
CHN,Imports of goods and services (% of GDP),18.11008945
CHN,Exports of goods and services (% of GDP),21.35407988
CHN,Trade (% of GDP),39.46416934
CHN,Merchandise exports (current US$),2.27E+12
CHN,Commercial service exports (current US$),2.16E+11
COL,Imports of goods and services (% of GDP),22.71055261
COL,Exports of goods and services (% of GDP),15.65021151
COL,Trade (% of GDP),38.36076412
COL,Merchandise exports (current US$),35691000000
COL,Commercial service exports (current US$),8342097449
COM,Imports of goods and services (% of GDP),27.66875376
COM,Exports of goods and services (% of GDP),10.13619831
COM,Trade (% of GDP),37.80495207
COM,Merchandise exports (current US$),17000000
COM,Commercial service exports (current US$),76552286.9
COD,Imports of goods and services (% of GDP),31.60686316
COD,Exports of goods and services (% of GDP),27.7255678
COD,Trade (% of GDP),59.33243096
COD,Merchandise exports (current US$),8685000000
COD,Commercial service exports (current US$),113339245.8
COG,Imports of goods and services (% of GDP),76.46367277
COG,Exports of goods and services (% of GDP),40.85704879
COG,Trade (% of GDP),117.3207216
COG,Merchandise exports (current US$),8623000000
COG,Commercial service exports (current US$),386726109.8
CRI,Imports of goods and services (% of GDP),30.75790407
